

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|313  |Linhas braile classificadas no código 8471.60.90 Ex    |8471.60.90   |18/05/2012 |             |
|     |01da TIPI                                              |Ex01         |           |             |
|314  |Digitalizadores de imagens - scanners - equipados com  |-            |18/11/2011 |17/05/2012   |
|     |sintetizador de voz classificados no código 8471.90.14 |             |           |             |
|     |da TIPI                                                |             |           |             |
|314  |Digitalizadores de imagens - scanners - equipados com  |8471.90.14   |18/05/2012 |             |
|     |sintetizador de voz classificados no código 8471.90.14 |Ex.01        |           |             |
|     |Ex 01 da TIPI                                          |             |           |             |
|315  |Duplicadores braile classificados no código 8472.10.00 |-            |18/11/2011 |17/05/2012   |
|     |da TIPI                                                |             |           |             |
|315  |Duplicadores braile classificados no código 8472.10.00 |8472.10.00   |18/05/2012 |             |
|     |Ex 01 da TIPI                                          |Ex.01        |           |             |
|316  |Acionadores de pressão classificados no código         |-            |18/11/2011 |17/05/2012   |
|     |8471.60.53 da TIPI                                     |             |           |             |
|316  |Acionadores de pressão classificados no código         |8471.60.53   |18/05/2012 |             |
|     |8471.60.53 Ex.02 da TIPI                               |Ex.02        |           |             |
|317  |Lupas eletrônicas do tipo utilizado por pessoas com    |-            |18/11/2011 |17/05/2012   |
|     |deficiência visual classificadas no código 8525.80.19  |             |           |             |
|     |da TIPI                                                |             |           |             |
|317  |Lupas eletrônicas do tipo utilizado por pessoas com    |8525.80.19   |18/05/2012 |             |
|     |deficiência visual classificadas no código 8525.80.19  |Ex01         |           |             |
|     |Ex 01 da TIPI                                          |             |           |             |
|318  |Implantes cocleares classificados no código 9021.90.19 |-            |18/11/2011 |17/05/2012   |
|     |da TIPI                                                |             |           |             |
|318  |Implantes cocleares classificados no código 9021.40.00 |-            |18/05/2012 |             |
|     |da TIPI                                                |             |           |             |
|319  |Próteses oculares classificadas no código 9021.90.89 da|-            |18/11/2011 |17/05/2012   |
|     |TIPI                                                   |             |           |             |
|319  |Próteses oculares classificadas no código 9021.39.80 da|-            |18/05/2012 |             |
|     |TIPI                                                   |             |           |             |
|320  |Programas - softwares - de leitores de tela que        |-            |18/05/2012 |             |
|     |convertem texto em voz sintetizada para auxílio de     |             |           |             |
|     |pessoas com deficiência visual.                        |             |           |             |
|321  |Aparelhos contendo programas - softwares - de leitores |-            |18/05/2012 |             |
|     |de tela que convertem texto em caracteres braile, para |             |           |             |
|     |utilização de surdos-cegos.                            |             |           |             |
|322  |Neuroestimuladores para tremor essencial/Parkinson,    |-            |18/05/2012 |             |
|     |classificados no código 9021.90.19, e seus acessórios, |             |           |             |
|     |classificados nos códigos 9018.90.99, 9021.90.91 e     |             |           |             |
|     |9021.90.99, todos da Tipi.                             |             |           |             |
|323  |Equipamentos ou materiais destinados a uso médico,     |-            |14/11/2014 |             |
|     |hospitalar, clínico ou laboratorial, conforme ato      |             |           |             |
|     |editado pelo Poder Executivo, quando adquiridos:       |             |           |             |
|     |I - pela União, Estados, Distrito Federal ou           |             |           |             |
|     |Municípios, bem como pelas suas autarquias e fundações |             |           |             |
|     |instituídas e mantidas pelo poder público; ou          |             |           |             |
|     |II - por entidades beneficentes de assistência social  |             |           |             |
|     |que atendam ao disposto na Lei nº 12.101/2009.         |             |           |             |
|324  |Venda no mercado interno e sobre a operação de         |             |09/04/2020 |31/12/2020   |
|     |importação de sulfato de zinco para medicamentos       |             |           |             |
|     |utilizados em nutrição parenteral, classificado nos    |             |           |             |
|     |seguintes códigos:                                     |             |           |             |
|     |I - 3003.90.99 da Tabela de Incidência do Imposto sobre|             |           |             |
|     |Produtos Industrializados - TIPI - medicamento a       |             |           |             |
|     |granel; e                                              |             |           |             |
|     |II - 3004.90.99 da TIPI - medicamento em doses.        |             |           |             |
|400  |INFORMÁTICA E REGIMES ESPECIAIS                        |             |           |             |
|401  |Venda a varejo de unidades de processamento digital    |-            |01/2011    |17/09/2012   |
|     |classificadas no código 8471.50.10 da TIPI, desde que o|             |           |             |
|     |preço de venda de cada unidade não exceda a R$ 2.000,00|             |           |             |
|401  |Venda a varejo de unidades de processamento digital    |             |18/09/2012 |30/11/2015   |
