

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|       |III - animais vivos classificados nas posições    |                 |          |          |
|       |01.03 e 01.05 da NCM, quando efetuada por pessoa  |                 |          |          |
|       |jurídica, inclusive cooperativa, vendidos para    |                 |          |          |
|       |pessoas jurídicas que produzam mercadorias        |                 |          |          |
|       |classificadas nos códigos 02.03, 0206.30.00,      |                 |          |          |
|       |0206.4, 02.07 e 0210.1 da NCM;                    |                 |          |          |
|       |IV - produtos classificados nos códigos 02.03,    |                 |          |          |
|       |0206.30.00, 0206.4, 02.07 e 0210.1 da NCM, quando |                 |          |          |
|       |efetuada por pessoa jurídica que industrialize ou |                 |          |          |
|       |revenda bens e produtos classificados nas posições|                 |          |          |
|       |01.03 e 01.05 da NCM.                             |                 |          |          |
|209    |Receita bruta da venda, no mercado interno, de:   |-                |27/06/2011|          |
|       |I - insumos de origem vegetal, classificados nas  |                 |          |          |
|       |posições 10.01 a 10.08, exceto os dos códigos     |                 |          |          |
|       |1006.20 e 1006.30, e nas posições 12.01, 23.04 e  |                 |          |          |
|       |23.06 da Nomenclatura Comum do Mercosul (NCM),    |                 |          |          |
|       |quando efetuada por pessoa jurídica, inclusive    |                 |          |          |
|       |cooperativa, vendidos:                            |                 |          |          |
|       |a) para pessoas jurídicas que produzam mercadorias|                 |          |          |
|       |classificadas nos códigos 02.03, 0206.30.00,      |                 |          |          |
|       |0206.4, 02.07 e 0210.1 da NCM;                    |                 |          |          |
|       |b) para pessoas jurídicas que produzam preparações|                 |          |          |
|       |dos tipos utilizados na alimentação de animais    |                 |          |          |
|       |vivos classificados nas posições 01.03 e 01.05,   |                 |          |          |
|       |classificadas no código 2309.90 da NCM; e         |                 |          |          |
|       |c) para pessoas físicas;                          |                 |          |          |
|       |II - preparações dos tipos utilizados na          |                 |          |          |
|       |alimentação de animais vivos classificados nas    |                 |          |          |
|       |posições 01.03 e 01.05, classificadas no código   |                 |          |          |
|       |2309.90 da NCM;                                   |                 |          |          |
|       |III - animais vivos classificados nas posições    |                 |          |          |
|       |01.03 e 01.05 da NCM, quando efetuada por pessoa  |                 |          |          |
|       |jurídica, inclusive cooperativa, vendidos para    |                 |          |          |
|       |pessoas jurídicas que produzam mercadorias        |                 |          |          |
|       |classificadas nos códigos 02.03, 0206.30.00,      |                 |          |          |
|       |0206.4, 02.07 e 0210.1 da NCM;                    |                 |          |          |
|       |IV - produtos classificados nos códigos 02.03,    |                 |          |          |
|       |0206.30.00, 0206.4, 02.07, 0210.1 e carne de      |                 |          |          |
|       |frango classificada no código 0210.99.00 da NCM,  |                 |          |          |
|       |quando efetuada por pessoa jurídica que revenda   |                 |          |          |
|       |tais produtos, ou que industrialize bens e        |                 |          |          |
|       |produtos classificados nas posições 01.03 e 01.05 |                 |          |          |
|       |da NCM                                            |                 |          |          |
|210    |Receitas decorrentes da venda dos produtos        |0901.1 e         |01/2012   |08/03/2013|
|       |classificados nos códigos 0901.1 e 0901.90.00 da  |0901.90.00       |          |          |
|       |TIPI, exceto na venda a consumidor final.         |                 |          |          |
|211    |Receitas decorrentes da venda de matéria-prima in |-                |08/2012 * |          |
|       |natura de origem vegetal, destinada à produção de |                 |          |          |
|       |biodiesel, quando efetuada por pessoa jurídica que|                 |          |          |
|       |exerça atividade agropecuária, de cooperativa de  |                 |          |          |
|       |produção agropecuária ou de cerealista que exerça |                 |          |          |
|       |cumulativamente as atividades de limpar,          |                 |          |          |
|       |padronizar, armazenar e comercializar a           |                 |          |          |
|       |matéria-prima destinada à produção de biodiesel.  |                 |          |          |
|212    |Receitas decorrentes da venda dos produtos        |-                |01/2013   |          |
|       |classificados no código 0805.10.00 da TIPI, quando|                 |          |          |
|       |utilizados na industrialização dos produtos       |                 |          |          |
|       |classificados no código 2009.1 da TIPI, e estes   |                 |          |          |
|       |forem destinados à exportação.                    |                 |          |          |
|213    |Soja classificada na posição 12.01 e dos produtos |12.01, 1208.10.00|10/10/2013|          |
|       |classificados nos códigos 1208.10.00 e 2304.00 da |e 2304.00        |          |          |
|       |TIPI                                              |                 |          |          |
|300    |REGIMES ESPECIAIS                                 |                 |          |          |
|301    |REPES - Regime Especial de Tributação para a      |-                |01/2011   |          |
|       |Plataforma de Exportação de Serviços de Tecnologia|                 |          |          |
|       |da Informação.                                    |                 |          |          |
|       |- Venda e/ou importação de bens novos destinados  |                 |          |          |
|       |ao desenvolvimento, no País, de software e de     |                 |          |          |
|       |serviços de tecnologia da informação, para        |                 |          |          |
|       |incorporação ao seu ativo imobilizado;            |                 |          |          |
|       |- Venda e/ou importação de serviços destinados ao |                 |          |          |
|       |desenvolvimento, no País, de software e de        |                 |          |          |
|       |serviços de tecnologia da informação e serviços   |                 |          |          |
|302    |RECAP - Regime Especial de Aquisição de Bens de   |-                |01/2011   |          |
|       |Capital para Empresas Exportadoras.               |                 |          |          |
|       |- Venda e/ou importação de máquinas, aparelhos,   |                 |          |          |
|       |instrumentos e equipamentos, para incorporação em |                 |          |          |
|       |seu ativo imobilizado                             |                 |          |          |
|303    |REIDI - Regime Especial de Incentivos para o      |-                |01/2011   |          |
|       |Desenvolvimento da Infra-Estrutura.               |                 |          |          |
|       |- Venda e/ou importação de máquinas, aparelhos,   |                 |          |          |
|       |instrumentos e equipamentos, novos, de materiais  |                 |          |          |
|       |de construção e de serviços para utilização ou    |                 |          |          |
|       |incorporação em obras de infra-estrutura          |                 |          |          |
|       |destinadas ao ativo imobilizado                   |                 |          |          |
|       |- Receitas de aluguel de máquinas, aparelhos,     |                 |          |          |
|       |instrumentos e equipamentos para utilização em    |                 |          |          |
|       |obras de infra-estrutura quando contratado por    |                 |          |          |
|       |pessoa jurídica beneficiária do REIDI             |                 |          |          |
|304    |REPENEC - Regime Especial de Incentivos para o    |-                |01/2011   |          |
|       |Desenvolvimento de Infraestrutura da Indústria    |                 |          |          |
|       |Petrolífera nas Regiões Norte, Nordeste e         |                 |          |          |
|       |Centro-Oeste.                                     |                 |          |          |
|       |- Venda/Importação de máquinas, aparelhos,        |                 |          |          |
|       |instrumentos e equipamentos, novos, e de materiais|                 |          |          |
|       |de construção, bem como serviços para utilização  |                 |          |          |
|       |ou incorporação nas obras de infraestrutura nas   |                 |          |          |
|       |Regiões Norte, Nordeste e Centro-Oeste, nos       |                 |          |          |
|       |setores petroquímico, de refino de petróleo e de  |                 |          |          |
|       |produção de amônia e uréia a partir do gás        |                 |          |          |
|       |natural, para incorporação ao seu ativo           |                 |          |          |
|       |imobilizado.                                      |                 |          |          |
|305    |REPORTO - Regime Tributário para Incentivo à      |-                |01/2011   |03/04/2012|
|       |Modernização e à Ampliação da Estrutura Portuária.|                 |          |          |
|       |                                                  |                 |          |          |
|       |- Vendas de locomotivas, locotratores, tênderes e |                 |          |          |
|       |vagões, e de trilhos e demais elementos de vias   |                 |          |          |
|       |férreas, para utilização na execução de serviços  |                 |          |          |
|       |de transporte de mercadorias em ferrovias         |                 |          |          |
|       |                                                  |                 |          |          |
|       |- Venda/Importação de máquinas, equipamentos,     |                 |          |          |
|       |peças de reposição e outros bens, destinados ao   |                 |          |          |
|       |seu ativo imobilizado para utilização exclusiva em|                 |          |          |
|       |portos na execução de serviços de carga, descarga |                 |          |          |
|       |e movimentação de mercadorias, bem como na        |                 |          |          |
|       |execução dos serviços de dragagem, e nos Centros  |                 |          |          |
|       |de Treinamento Profissional, na execução do       |                 |          |          |
|       |treinamento e formação de trabalhadores           |                 |          |          |
|305    |REPORTO - Regime Tributário para Incentivo à      |                 |04/04/2012|          |
|       |Modernização e à Ampliação da Estrutura Portuária.|                 |          |          |
|       |                                                  |                 |          |          |
|       |- Vendas de locomotivas, locotratores, tênderes e |                 |          |          |
|       |vagões, e de trilhos e demais elementos de vias   |                 |          |          |
|       |férreas, para utilização na execução de serviços  |                 |          |          |
|       |de transporte de mercadorias em ferrovias         |                 |          |          |
|       |                                                  |                 |          |          |
|       |- Venda/Importação de máquinas, equipamentos,     |                 |          |          |
|       |peças de reposição e outros bens, destinados ao   |                 |          |          |
|       |seu ativo imobilizado para utilização exclusiva em|                 |          |          |
|       |portos na execução de serviços de carga, descarga |                 |          |          |
|       |e movimentação de mercadorias e produtos, de      |                 |          |          |
|       |sistemas suplementares de apoio operacional, de   |                 |          |          |
|       |proteção ambiental, de sistemas de segurança e de |                 |          |          |
|       |monitoramento de fluxo de pessoas, mercadorias,   |                 |          |          |
|       |produtos, veículos e embarcações, de dragagens e  |                 |          |          |
|       |de treinamento e formação de trabalhadores,       |                 |          |          |
|       |inclusive na implantação de Centros de Treinamento|                 |          |          |
|       |Profissional                                      |                 |          |          |
|306    |RECOMPE - Regime Especial de Aquisição de         |-                |01/2011   |          |
|       |Computadores para Uso Educacional.                |                 |          |          |
|       |Prestação de serviços e venda de matérias-primas e|                 |          |          |
|       |produtos intermediários destinados à              |                 |          |          |
|       |industrialização dos equipamentos destinados ao   |                 |          |          |
|       |PROUCA (Programa Um Computador por Aluno)         |                 |          |          |
|307    |RETAERO - Regime Especial para a Indústria        |-                |01/2011   |          |
|       |Aeronáutica Brasileira.                           |                 |          |          |
|       |- Partes, peças, ferramentais, componentes,       |                 |          |          |
|       |equipamentos, sistemas, subsistemas, insumos e    |                 |          |          |
|       |matérias-primas, ou serviços a serem empregados na|                 |          |          |
|       |manutenção, conservação, modernização, reparo,    |                 |          |          |
|       |revisão, conversão e industrialização das         |                 |          |          |
|       |aeronaves classificadas na posição 88.02 da NCM.  |                 |          |          |
|       |- Venda ou importação de serviços de tecnologia   |                 |          |          |
|       |industrial básica, desenvolvimento e inovação     |                 |          |          |
|       |tecnológica, assistência técnica e transferência  |                 |          |          |
|       |de tecnologia destinados a empresas beneficiárias |                 |          |          |
|308    |RECOPA - Regime Especial de Tributação para       |-                |01/2011   |          |
|       |Construção, Ampliação, Reforma ou Modernização de |                 |          |          |
|       |Estádios de Futebol.                              |                 |          |          |
|       |- Venda no mercado interno ou importação de       |                 |          |          |
|       |máquinas, aparelhos, instrumentos e equipamentos, |                 |          |          |
|       |novos, materiais de construção, prestação de      |                 |          |          |
|       |serviços, locação de máquinas, aparelhos,         |                 |          |          |
|       |instrumentos e equipamentos para utilização ou    |                 |          |          |
|       |incorporação nas obras de construção, ampliação,  |                 |          |          |
|       |reforma ou modernização dos estádios de futebol   |                 |          |          |
|       |com utilização prevista nas partidas oficiais da  |                 |          |          |
|       |Copa das Confederações FIFA 2013 e da Copa do     |                 |          |          |
|       |Mundo FIFA 2014                                   |                 |          |          |
|309    |ZFM - Zona Franca de Manaus.                      |-                |01/2011   |          |
|       |- Importação de bens a serem empregados na        |                 |          |          |
|       |elaboração de matérias-primas, produtos           |                 |          |          |
|       |intermediários e materiais de embalagem destinados|                 |          |          |
|       |a emprego em processo de industrialização por     |                 |          |          |
|       |estabelecimentos industriais instalados na ZFM.   |                 |          |          |
|       |- Importação de matérias-primas, produtos         |                 |          |          |
|       |intermediários e materiais de embalagem para      |                 |          |          |
|       |emprego em processo de industrialização por       |                 |          |          |
|       |estabelecimentos industriais instalados na ZFM.   |                 |          |          |
|310    |ZPE - Zonas de Processamento de Exportação.       |-                |01/2011   |          |
|       |- Importações ou aquisições no mercado interno de |                 |          |          |
|       |bens e serviços por empresa autorizada a operar em|                 |          |          |
|       |ZPE.                                              |                 |          |          |
|311    |Vendas realizadas no mercado interno para a Fifa, |-                |01/2011   |          |
|       |para Subsidiária Fifa no Brasil ou para a Emissora|                 |          |          |
|       |Fonte da Fifa, de mercadorias destinadas a uso ou |                 |          |          |
|       |consumo exclusivo na organização e realização da  |                 |          |          |
|       |Copa das Confederações Fifa 2013 e da Copa do     |                 |          |          |
|       |Mundo Fifa 2014.                                  |                 |          |          |
|312    |RECOF -  Regime de Entreposto Industrial sob      |-                |01/2011   |          |
|       |Controle Aduaneiro Informatizado                  |                 |          |          |
|       |Importação, com ou sem cobertura cambial, e com   |                 |          |          |
|       |suspensão do pagamento de tributos, sob controle  |                 |          |          |
|       |aduaneiro informatizado, de mercadorias que,      |                 |          |          |
|       |depois de submetidas a operação de                |                 |          |          |
|       |industrialização, sejam destinadas a exportação   |                 |          |          |
|313    |RECOM - Regime Aduaneiro Especial de Importação de|-                |01/2011   |          |
|       |Insumos Destinados a Industrialização por         |                 |          |          |
|       |Encomenda de Produtos Classificados nas Posições  |                 |          |          |
